review,sentiment
I loved this movie it was amazing and fantastic,positive
This film was terrible and boring,negative
Absolutely wonderful acting and great story,positive
Worst movie I have ever seen,negative
The plot was very interesting and engaging,positive
I did not like this movie at all,negative
An outstanding masterpiece with brilliant performances,positive
It was a waste of time and money,negative
Really enjoyed the cinematography and music,positive
The story was dull and predictable,negative
This movie made me very happy,positive
The acting was horrible and disappointing,negative
One of the best movies of the year,positive
I will never watch this again,negative
Truly inspiring and beautifully directed,positive
The script was poorly written,negative
Fantastic visuals and emotional scenes,positive
Not worth watching at all,negative
I highly recommend this film,positive
It was completely boring and slow,negative
